acs_id,tract_name,tract_code,acs_tract,boro_code,boro,acs_county,boro_tract_code,CDEligibil,NTACode,PUMA,Shape_Leng,Shape_Area,acs_tract_code,acs_total_pop_est,acs_pct_poc,acs_pct_one_race_est,acs_pct_white_est,acs_pct_black_est,acs_pct_native&alaskan_est,acs_pct_asain_est,acs_pct_hawaiian&pi_est,acs_pct_others_est,acs_pct_two_or_more_races_est,acs_pct_hisp_lat_est,acs_pct_non-hisp_lat_white_est,acs_pct_below_100_pct_below_poverty_level_est,acs_pct_100-149_pct_above_poverty_level_est,acs_pct_150+_pct_above_poverty_level_est,acs_pct_native_born_est,acs_pct_foreign_born_est,tract_arrest_counts
1400000US36081011200,Richmond Hill,011200,112,4,Queens,Queens County,4011200,E,QN54,4111,6398.945814,2029245.438,11200,2279,76.6,86.3,31.3,4.1,0,39.7,0,11.2,13.7,23.3,23.4,12,9.6,78.4,38.88,5.66,1
1400000US36081011300,Steinway,011300,113,4,Queens,Queens County,4011300,E,QN72,4101,6050.897722,1922996.151,11300,4463,47.5,97.7,74.8,2,0,12.7,0,8.2,2.3,30.1,52.5,7.1,8.8,84,51.6,2.29,0
1400000US36081011400,Richmond Hill,011400,114,4,Queens,Queens County,4011400,I,QN54,4111,5044.568244,1308602.997,11400,1303,79.9,96.8,46.8,6.6,0,28.4,0,15,3.2,39.3,20.1,3.5,30.3,66.2,49.65,0.84,0
1400000US36081011700,Steinway,011700,117,4,Queens,Queens County,4011700,I,QN72,4101,6365.303255,2290673.039,11700,3574,26,98.9,85.8,2.3,0,8.4,0,2.4,1.1,15.2,74,11.5,3.1,85.4,63.51,1.82,2
1400000US36081011900,Steinway,011900,119,4,Queens,Queens County,4011900,E,QN72,4101,4488.11142,1199795.087,11900,1409,39,90.8,68.2,0,1.1,5.9,0,15.7,9.2,24.6,61,12.7,2.3,85,62.17,3.05,0
1400000US36081012100,Steinway,012100,121,4,Queens,Queens County,4012100,E,QN72,4101,5080.832384,1484400.402,12100,2034,28.6,96.6,81.5,5.1,0.6,5.6,0,3.8,3.4,17.1,71.4,5.1,1.3,93.6,69.57,3.88,1
1400000US36081012400,Richmond Hill,012400,124,4,Queens,Queens County,4012400,E,QN54,4111,6137.103837,2103190.187,12400,3374,91.5,90.8,27,12.6,3.8,18.4,0,29.1,9.2,47,8.5,10.7,3.1,86.2,42.98,4.83,0
1400000US36081012601,Richmond Hill,012601,126.01,4,Queens,Queens County,4012601,E,QN54,4111,5764.749961,1585195.971,12601,2750,93.6,91.6,41.3,7.5,0,16.7,0,26,8.4,56.2,6.4,8.7,10.1,81.2,42.69,2.4,1
1400000US36081012602,Richmond Hill,012602,126.02,4,Queens,Queens County,4012602,E,QN54,4111,5581.885144,1583994.728,12602,2792,86.1,96.7,38.4,2.9,1.4,22.9,0,31.1,3.3,59.8,13.9,13.2,14.1,72.7,45.09,5.41,0
1400000US36081012800,Richmond Hill,012800,128,4,Queens,Queens County,4012800,I,QN54,4111,5824.971855,1721777.313,12800,2380,74.9,94.2,58.9,8,0,14.8,0,12.5,5.8,55,25.1,10,13.4,76.6,52.52,1.3,0
1400000US36081013000,Richmond Hill,013000,130,4,Queens,Queens County,4013000,E,QN54,4111,7748.102094,2016151.032,13000,1688,62.1,98.3,51.5,9.8,0,26.8,0,10.2,1.7,19.2,37.9,13.7,8,78.4,57.41,1.36,0
1400000US36081013600,Kew Gardens,013600,136,4,Queens,Queens County,4013600,I,QN60,4111,5973.832805,1632351.2,13600,1874,37.9,95.9,77.5,6,1.7,6.6,0.8,3.4,4.1,23.2,62.1,6.6,6.7,86.8,65.9,6.78,0
1400000US36081014000,Kew Gardens,014000,140,4,Queens,Queens County,4014000,I,QN60,4111,7299.169944,2390486.939,14000,3766,51.8,96.8,57.3,5.5,0,16.1,0,17.9,3.2,25.5,48.2,7.7,6.7,85.5,60.91,4.22,0
1400000US36081014300,Astoria,014300,143,4,Queens,Queens County,4014300,E,QN70,4101,5416.759375,1469451.935,14300,3772,44.7,95.6,66.8,2.8,0.4,14.7,0,10.9,4.4,25.2,55.3,12,8.8,79.2,50.64,2.92,0
1400000US36081014500,Astoria,014500,145,4,Queens,Queens County,4014500,E,QN70,4101,4713.297135,1374739.954,14500,2412,35.7,98.5,80.7,3.4,1.7,6,0,6.8,1.5,26,64.3,16,6.3,77.7,52.32,3.86,0
1400000US36081014700,Astoria,014700,147,4,Queens,Queens County,4014700,E,QN70,4101,6043.088482,1592386.541,14700,2768,29.8,97.8,75.8,3.1,0.5,15.2,0,3.1,2.2,12.9,70.2,5.3,7.1,87.6,64.2,1.88,0
1400000US36081014900,Astoria,014900,149,4,Queens,Queens County,4014900,E,QN70,4101,4285.463597,1147477.904,14900,1842,38.2,100,79.7,0.9,0,8.3,0,11.2,0,29.8,61.8,4,8.8,87.2,58.25,0.54,0
1400000US36081015300,Astoria,015300,153,4,Queens,Queens County,4015300,E,QN70,4101,4615.607896,1309390.558,15300,1933,54.3,93.8,57.4,4.8,0,22,2.1,7.6,6.2,21.3,45.7,8.8,6.5,84.8,53.03,1.35,1
1400000US36081015400,Richmond Hill,015400,154,4,Queens,Queens County,4015400,E,QN54,4111,7745.387272,1617854.278,15400,2170,96.9,94.3,6.5,11.9,0,40.2,0,35.7,5.7,11.5,3.1,12.6,9.6,77.8,24.61,0.55,0
